segment_id,track_id,original_audio_id,label,score,prediction,run_id,holdout_generator,model,variant,cohort,split,level,threshold
seg_000063,sample_00021,Attention - Pete Prodoehl,0,0.2955498695373535,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000064,sample_00021,Attention - Pete Prodoehl,0,0.6143824458122253,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000065,sample_00021,Attention - Pete Prodoehl,0,0.9300709962844848,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000135,sample_00045,Dance Harder - Three Chain Links,0,0.0236105471849441,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000136,sample_00045,Dance Harder - Three Chain Links,0,0.1138822957873344,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000137,sample_00045,Dance Harder - Three Chain Links,0,0.1618377119302749,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000147,sample_00049,Different Day - First,0,0.0768313333392143,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000148,sample_00049,Different Day - First,0,0.1293668448925018,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000149,sample_00049,Different Day - First,0,0.0650628507137298,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000237,sample_00079,Fuckaboing - RoccoW,0,0.122074469923973,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000238,sample_00079,Fuckaboing - RoccoW,0,0.0489833354949951,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000239,sample_00079,Fuckaboing - RoccoW,0,0.0056905294768512,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000261,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",0,0.1294608861207962,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000262,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",0,0.2081930935382843,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000263,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",0,0.3252432346343994,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000267,sample_00089,"Hungry - Oh Yeah, the Future",0,0.0437354706227779,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000268,sample_00089,"Hungry - Oh Yeah, the Future",0,0.1869358420372009,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000269,sample_00089,"Hungry - Oh Yeah, the Future",0,0.0418932400643825,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000270,sample_00090,I - Inflammator,0,0.0109726721420884,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000271,sample_00090,I - Inflammator,0,0.03373284637928,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000272,sample_00090,I - Inflammator,0,0.0547781586647033,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000348,sample_00116,LIQUID SKULLS - voyageurs,0,0.0123677039518952,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000349,sample_00116,LIQUID SKULLS - voyageurs,0,0.0317454263567924,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000350,sample_00116,LIQUID SKULLS - voyageurs,0,0.0359708629548549,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000396,sample_00132,Love Dream - The Zombie Dandies,0,0.0104783168062567,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000397,sample_00132,Love Dream - The Zombie Dandies,0,0.0433824434876441,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000398,sample_00132,Love Dream - The Zombie Dandies,0,0.0317987501621246,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000432,sample_00144,Motocross Mania - Monroeville Music Center,0,0.1090994328260421,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000433,sample_00144,Motocross Mania - Monroeville Music Center,0,0.0764080882072448,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000434,sample_00144,Motocross Mania - Monroeville Music Center,0,0.1713926047086715,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000438,sample_00146,Music For an Underground Circu - Ergo Phizmiz,0,0.0671593472361564,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000439,sample_00146,Music For an Underground Circu - Ergo Phizmiz,0,0.0869659036397934,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000440,sample_00146,Music For an Underground Circu - Ergo Phizmiz,0,0.1180810779333114,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000462,sample_00154,Night Owl - Broke For Free,0,0.0541175492107868,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000463,sample_00154,Night Owl - Broke For Free,0,0.0712053924798965,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000464,sample_00154,Night Owl - Broke For Free,0,0.0985109359025955,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000513,sample_00171,Pista Afuera - Epstein,0,0.0448844283819198,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000514,sample_00171,Pista Afuera - Epstein,0,0.0281279683113098,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000515,sample_00171,Pista Afuera - Epstein,0,0.0341179482638835,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000534,sample_00178,Realize Me - Jim Rooster,0,0.1156112477183342,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000535,sample_00178,Realize Me - Jim Rooster,0,0.0232968218624591,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000536,sample_00178,Realize Me - Jim Rooster,0,0.0134141752496361,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000540,sample_00180,Resistentialism - Nihilore,0,0.019924160093069,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000541,sample_00180,Resistentialism - Nihilore,0,0.061932124197483,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000542,sample_00180,Resistentialism - Nihilore,0,0.1571627259254455,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000588,sample_00196,Sfogare Il Dissenso - Deiezione HC,0,0.0096079129725694,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000589,sample_00196,Sfogare Il Dissenso - Deiezione HC,0,0.0257185213267803,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000590,sample_00196,Sfogare Il Dissenso - Deiezione HC,0,0.0169452372938394,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000594,sample_00198,She Works / Tepid Waters - Bird Names,0,0.0029875107575207,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000595,sample_00198,She Works / Tepid Waters - Bird Names,0,0.0044520087540149,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000596,sample_00198,She Works / Tepid Waters - Bird Names,0,0.0081326430663466,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
seg_000618,sample_00206,Something Dirty - Ergo Phizmiz,0,0.0517577640712261,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,segment,0.23395635187625885
