track_id,original_audio_id,label,score,n_segments,prediction,run_id,holdout_generator,model,variant,cohort,split,level,threshold
sample_00021,Attention - Pete Prodoehl,0,0.6133344372113546,3,1,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00045,Dance Harder - Three Chain Links,0,0.09977685163418448,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00049,Different Day - First,0,0.0904203429818153,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00079,Fuckaboing - RoccoW,0,0.05891611163193977,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",0,0.22096573809782663,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00089,"Hungry - Oh Yeah, the Future",0,0.09085485090812044,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00090,I - Inflammator,0,0.03316122572869057,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00116,LIQUID SKULLS - voyageurs,0,0.026694664421180837,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00132,Love Dream - The Zombie Dandies,0,0.028553170152008468,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00144,Motocross Mania - Monroeville Music Center,0,0.1189667085806528,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00146,Music For an Underground Circu - Ergo Phizmiz,0,0.0907354429364204,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00154,Night Owl - Broke For Free,0,0.07461129253109293,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00171,Pista Afuera - Epstein,0,0.035710114985704366,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00178,Realize Me - Jim Rooster,0,0.05077408161014313,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00180,Resistentialism - Nihilore,0,0.0796730034053325,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00196,Sfogare Il Dissenso - Deiezione HC,0,0.017423890531063035,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00198,She Works / Tepid Waters - Bird Names,0,0.005190720859294067,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00206,Something Dirty - Ergo Phizmiz,0,0.052182465791702236,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
sample_00216,Stuttgart - Portrayal,0,0.028634742523233035,3,0,cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,paired_source,test,track,0.33172982931137085
