robustness_run_id,condition,model,inference_seconds,device
mp3_optimized_20260919T175101Z,clean,LogisticRegression,0.002488291938789189,cpu
mp3_optimized_20260919T175101Z,clean,RBF-SVM,0.19753858307376504,cpu
mp3_optimized_20260919T175101Z,clean,Log-Mel CNN,8.161201999988407,mps
mp3_optimized_20260919T175101Z,clean,Frozen MERT + LR,0.004657958052121103,cpu
mp3_optimized_20260919T175101Z,mp3_128,LogisticRegression,0.0023440830409526825,cpu
mp3_optimized_20260919T175101Z,mp3_128,RBF-SVM,0.2082572920480743,cpu
mp3_optimized_20260919T175101Z,mp3_128,Log-Mel CNN,8.182740458054468,mps
mp3_optimized_20260919T175101Z,mp3_128,Frozen MERT + LR,0.0036958750570192933,cpu
mp3_optimized_20260919T175101Z,mp3_64,LogisticRegression,0.002600999898277223,cpu
mp3_optimized_20260919T175101Z,mp3_64,RBF-SVM,0.19688966602552682,cpu
mp3_optimized_20260919T175101Z,mp3_64,Log-Mel CNN,7.881747083039954,mps
mp3_optimized_20260919T175101Z,mp3_64,Frozen MERT + LR,0.0032948750304058194,cpu
