segment_id,track_id,original_audio_id,label,score,run_id,model,variant,split,threshold,prediction
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.004279331570483366,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.196529486283076,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.10536132247440143,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000039,sample_00013,Agora - Malaventura,0,0.6845115922848787,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,1
seg_000040,sample_00013,Agora - Malaventura,0,0.984374619812457,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,1
seg_000041,sample_00013,Agora - Malaventura,0,0.8090641020915829,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,1
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,8.683957027398321e-05,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,0.06950696929882237,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,0.050616076578265015,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000129,sample_00043,CopperNickle - UncleBibby,0,0.8741871739708423,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,1
seg_000130,sample_00043,CopperNickle - UncleBibby,0,0.9321893436305543,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,1
seg_000131,sample_00043,CopperNickle - UncleBibby,0,0.004318647305019243,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,0.14887237437912854,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,0.018229671220058054,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000143,sample_00047,Daylight Savings - My brother Daniel,0,0.41802535751870873,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
seg_000177,sample_00059,Empty Pockets - Pete Prodoehl,0,0.07556273591662226,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6663391213946953,0
