track_id,original_audio_id,label,score,n_segments,prediction,run_id,model,variant,split,threshold
sample_00002,2 (Wasn't There) - Isle of Pine,0,0.1020567134426536,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00013,Agora - Malaventura,0,0.8259834380629728,3,1,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00027,Beyond Luxury - Mors Ontologica,0,0.040069961815787127,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00043,CopperNickle - UncleBibby,0,0.6035650549688053,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00047,Daylight Savings - My brother Daniel,0,0.19504246770596512,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00059,Empty Pockets - Pete Prodoehl,0,0.25989145256271035,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00065,Evil Cannot Create - Caleb Lemond,0,0.19325640549808065,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00067,Fear - Los Fancy Free,0,0.2586627974570011,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,0.9138904718454066,3,1,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,0.2843119494117314,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00095,I Fell - Mod Fun,0,0.11092662101312695,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00099,If You're Ther - Nicola Ratti,0,0.1517047276089488,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00114,Kumorizoranohajimarutokoro - Hosomi,0,0.007321628724916457,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00128,Lights Up - Pipe Choir,0,0.08939145843228835,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00133,Loved Ones - Rowan Box,0,0.34760287663377026,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00136,March of the GPA Mechanics - [t]ghost,0,0.37459298147619774,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00142,Morning Bell - Nihilore,0,0.09713250432398425,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00147,My Body Is A Weapon (Compromise Edit) - Silence is full of birds,0,0.03538527655083131,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00151,New Life (take 1) - Bird Names,0,0.009812417669145047,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00153,Night Drive - Decktonic,0,9.805168219215946e-07,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00156,Norweigian Wood II - Bird Names,0,0.05903626252240384,3,0,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
sample_00160,Nuo Maisemat - Paavoharju,0,0.7291709225494865,3,1,classical_20260919T110356Z,LogisticRegression,baseline,val,0.6343298786547279
