track_id,original_audio_id,label,score,n_segments,prediction,run_id,model,variant,split,threshold
sample_00002,2 (Wasn't There) - Isle of Pine,0,0.16106654453831512,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00013,Agora - Malaventura,0,0.5749586781814661,3,1,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00027,Beyond Luxury - Mors Ontologica,0,0.1284216201060463,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00043,CopperNickle - UncleBibby,0,0.3710121997434012,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00047,Daylight Savings - My brother Daniel,0,0.5634561570614823,3,1,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00059,Empty Pockets - Pete Prodoehl,0,0.2725689274553814,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00065,Evil Cannot Create - Caleb Lemond,0,0.14804477782771971,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00067,Fear - Los Fancy Free,0,0.2177162019572116,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,0.8904717336404134,3,1,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,0.43325394879132045,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00095,I Fell - Mod Fun,0,0.14918178855792,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00099,If You're Ther - Nicola Ratti,0,0.21797413458929737,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00114,Kumorizoranohajimarutokoro - Hosomi,0,0.022386387081310386,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00128,Lights Up - Pipe Choir,0,0.07813731966757768,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00133,Loved Ones - Rowan Box,0,0.5348631299878284,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00136,March of the GPA Mechanics - [t]ghost,0,0.3368511384135074,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00142,Morning Bell - Nihilore,0,0.06828087943867846,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00147,My Body Is A Weapon (Compromise Edit) - Silence is full of birds,0,0.0382129288280604,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00151,New Life (take 1) - Bird Names,0,0.040323436002208134,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
sample_00153,Night Drive - Decktonic,0,0.0022219210626375353,3,0,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5634561570614823
