segment_id,track_id,original_audio_id,label,score,run_id,model,variant,split,threshold,prediction
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,-1.3754083207202286,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,-0.11933093676129425,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.49544012392872605,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000039,sample_00013,Agora - Malaventura,0,-0.37772510168697404,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000040,sample_00013,Agora - Malaventura,0,0.7017518230233835,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,1
seg_000041,sample_00013,Agora - Malaventura,0,-0.18702867124591083,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,-2.682219790903022,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,-0.7497168521521165,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,-1.3273231106356655,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000129,sample_00043,CopperNickle - UncleBibby,0,0.5639407561892613,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000130,sample_00043,CopperNickle - UncleBibby,0,1.2267436392503288,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,1
seg_000131,sample_00043,CopperNickle - UncleBibby,0,-0.6177471416636624,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,-0.16205974734283735,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,-0.07306827727027732,classical_20260919T110356Z,RBF-SVM,optimized,val,0.5847561880627183,0
