segment_id,track_id,original_audio_id,label,score,run_id,trial_id,split,model,segment_threshold,track_threshold
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.005273123737424612,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.015589785762131214,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.022299369797110558,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000039,sample_00013,Agora - Malaventura,0,0.047725412994623184,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000040,sample_00013,Agora - Malaventura,0,0.10446854680776596,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000041,sample_00013,Agora - Malaventura,0,0.15705399215221405,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,1.1608793101913761e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,3.04150307783857e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,0.0002305511006852612,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000129,sample_00043,CopperNickle - UncleBibby,0,1.2860668903158512e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000130,sample_00043,CopperNickle - UncleBibby,0,2.6725381758296862e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000131,sample_00043,CopperNickle - UncleBibby,0,1.9304792658658698e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,2.486768835296971e-06,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,3.314265632070601e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000143,sample_00047,Daylight Savings - My brother Daniel,0,1.5897245248197578e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000177,sample_00059,Empty Pockets - Pete Prodoehl,0,3.72975118807517e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000178,sample_00059,Empty Pockets - Pete Prodoehl,0,0.0012250164290890098,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000179,sample_00059,Empty Pockets - Pete Prodoehl,0,0.0015745027922093868,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000195,sample_00065,Evil Cannot Create - Caleb Lemond,0,0.0003447954950388521,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000196,sample_00065,Evil Cannot Create - Caleb Lemond,0,0.006730243097990751,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000197,sample_00065,Evil Cannot Create - Caleb Lemond,0,0.00406259298324585,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000201,sample_00067,Fear - Los Fancy Free,0,8.564622476114891e-06,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000202,sample_00067,Fear - Los Fancy Free,0,5.802881423733197e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000203,sample_00067,Fear - Los Fancy Free,0,8.163382881321013e-05,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000204,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,0.024412788450717926,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
seg_000205,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,0.18958322703838348,cnn_revised_20260919T110440Z,cnn_s1_05,val,Log-Mel CNN,0.03419720381498337,0.09856456518173218
